idx,smiles
1,C
2,N
3,O
4,C#C
5,C#N
6,C=O
7,CC
8,CO
9,CC#C
10,CC#N
11,CC=O
12,NC=O
13,CCC
14,CCO
15,COC
16,CCC3
17,CCO3
18,CCC)=O
19,CCN)=O
20,NCN)=O
21,CCC)C
22,CCC)O
23,C#CC#C
24,C#CC#N
25,N#CC#N
26,O=CC#C
27,O=CC#N
28,O=CC=O
29,CC#CC
30,CCC#C
31,CCC#N
32,NCC#N
33,OCC#C
34,OCC#N
35,CCC=O
36,CNC=O
37,COC=O
38,OCC=O
39,CCCC
40,CCCO
41,CCOC
42,OCCO
43,CCCC3
44,CCCO3
45,CNCC3
46,OCCC3
47,CCCC4
48,CCOC4
49,CCC)=NO
50,NC=CC=C5
51,NC=CN=C5
52,OC=CC=C5
53,OC=CN=C5
54,CCC)C)C
55,CCC)C)O
56,CC=O)C#C
57,CC=O)C#N
58,NC=N)C#N
59,NC=O)C#C
60,CC=O)C=O
61,NC=N)C=O
62,NC=O)C=O
63,CCC)C#C
64,CCC)C#N
65,CCN)C#N
66,CCO)C#C
67,CCO)C#N
68,CCC)C=O
69,CCO)C=O
70,CNC)C=O
71,CC=O)CO
72,CCCC)=O
73,CCCN)=O
74,CNCC)=O
75,CNCN)=O
76,COCC)=N
77,COCC)=O
78,COCN)=O
79,NC=O)CO
80,CCC)CO
81,CCO)CO
82,CCCC)C
83,CCCC)O
84,COCC)C
85,CCC)CC3
86,CCC)CO3
87,CCO)CC3
88,N=CCCO4
89,O=CCCC4
90,O=CCCN4
91,O=CCCO4
92,O=CCNC4
93,O=CCOC4
94,CCCCC4
95,CCCCO4
96,CCCOC4
97,OCCCC4
98,OCCOC4
99,CCCC3C
100,CCCC3O
101,CCCN3C
102,CCOC3C
103,OCCC3O
104,CCCC4C4
105,CCCC4O4
106,C#CCC#C
107,C#CCC#N
108,N#CCC#N
109,O=CCC#C
110,O=CCC#N
111,N=CNC=O
112,N=COC=O
113,O=CNC=O
114,CC#CC#C
115,CC#CC#N
116,CC#CC=O
117,CC#CCO
118,CCC#CC
119,COC=NC
120,CCCC#C
121,CCCC#N
122,CNCC#N
123,COCC#C
124,COCC#N
125,OCCC#C
126,OCCC#N
127,CCCC=O
128,CCNC=O
129,CCOC=O
130,COCC=O
131,OCCC=O
132,CCCCC
133,CCCCO
134,CCCOC
135,CCOCC
136,COCCO
137,OCCCO
138,C#CCCC3
139,C#CCCN3
140,C#CCCO3
141,N#CCCC3
142,N#CCCN3
143,N#CCCO3
144,O=CCCC3
145,O=CCCN3
146,O=CCCO3
147,O=CNCC3
148,CCCCC3
149,CCCCO3
150,CCNCC3
151,COCCC3
152,OCCCC3
153,OCCCN3
154,OCCCO3
155,CCC=CC5
156,CCN=CO5
157,COCC=C5
158,CCCCC5
159,CCCOC5
160,CCOCO5
161,CCCCC54
162,CCCOC54
163,CCCOC53
164,NC=CC=N5
165,NC=CN=N5
166,NC=NC=N5
167,NC=NN=C5
168,NN=CC=N5
169,OC=CC=N5
170,OC=CN=N5
171,OC=NC=N5
172,OC=NN=C5
173,OC=NN=N5
174,ON=CC=N5
175,ON=CN=N5
176,ON=NN=N5
177,CC=NO))C#C
178,CCCO))=NO
179,CCCC)=NO
180,ON=CCCC4
181,ON=CCNC4
182,ON=CCOC4
183,FCF)F)F
184,N=CNC=CO5
185,N=COC=CO5
186,O=CNC=CN5
187,O=CNC=CO5
188,O=COC=CO5
189,CC=CC=CN5
190,CC=CC=CO5
191,CC=CN=CO5
192,CC=NC=CO5
193,NC=CC=CN5
194,NC=CC=CO5
195,NC=CN=CO5
196,NC=NC=CO5
197,OC=CC=CN5
198,OC=CN=CN5
199,OC=NC=CN5
200,CC=CNC=C5
201,CC=CNC=N5
202,CC=COC=C5
203,CC=COC=N5
204,NC=CNC=C5
205,NC=CNC=N5
206,NC=COC=C5
207,NC=COC=N5
208,OC=CNC=C5
209,OC=CNC=N5
210,OC=COC=N5
211,CNC=CC=C5
212,CNC=CN=C5
213,C=CC=CC=C6
214,C=CC=NC=C6
215,C=CN=CC=N6
216,C=CN=CN=C6
217,C=NC=NC=N6
218,CCC)C)C#C
219,CCC)C)C#N
220,CCC)N)C#N
221,CCC)O)C#C
222,CCC)O)C#N
223,CCC)C)C=O
224,CCC)O)C=O
225,CCC)C)CO
226,CCC)O)CO
227,CCCC)C)C
228,CCCC)C)O
229,COCC)C)C
230,CC#CCC)=O
231,CC#CCN)=O
232,CC#CCC)C
233,CC#CCC)O
234,CC=O)CC#C
235,CC=O)CC#N
236,NC=O)CC#C
237,NC=O)CC#N
238,CC=N)NC=O
239,CC=N)OC=O
240,CC=O)CC=O
241,CC=O)NC=N
242,CC=O)NC=O
243,CC=O)OC=N
244,NC=N)NC=O
245,NC=O)CC=O
246,NC=O)NC=N
247,NC=O)NC=O
248,NC=O)OC=N
249,CCC)CC#C
250,CCC)CC#N
251,CCO)CC#C
252,CCO)CC#N
253,CNC)CC#N
254,CCC)CC=O
255,CCC)NC=O
256,CCC)OC=O
257,CCO)CC=O
258,CNC)CC=O
259,CC=O)CCO
260,CCCCC)=O
261,CCCCN)=O
262,CCNCC)=O
263,CCNCN)=O
264,CCOCC)=O
265,CCOCN)=O
266,COCCC)=O
267,COCCN)=O
268,NC=O)CCO
269,CCC)CCO
270,CCO)CCO
271,CCCCC)C
272,CCCCC)O
273,CCOCC)C
274,COCCC)C
275,COCCC)O
276,CC=O)CC)=O
277,CC=O)CN)=N
278,CC=O)CN)=O
279,NC=O)CN)=O
280,CCC)CC)=O
281,CCC)CN)=O
282,CCO)CC)=O
283,CCO)CN)=O
284,CNC)CC)=O
285,CNC)CN)=O
286,CCC)CC)C
287,CCC)CC)O
288,CCO)CC)O
289,CCC)CCC4
290,CCC)CCO4
291,CCC)COC4
292,CCO)CCC4
293,CCO)COC4
294,CCC)CC3O
295,CCO)CC3O
296,CCCC3C)C
297,CCCC3C)O
298,CCOC3C)C
299,CNCC3C)C
300,CCCC=N)O4
301,CCCC=O)C4
302,CCCC=O)N4
303,CCCC=O)O4
304,CNCC=O)C4
305,OCCC=O)C4
306,CCCCC)C4
307,CCCCC)O4
308,CCCCO)C4
309,CNCCO)C4
310,OCCCO)C4
311,CCCCC4)C4
312,CCCCC4)O4
313,CCCNC4)C4
314,OCCCC4)C4
315,OCCNC4)C4
316,O=CC#C))C#C
317,O=CC#C))C#N
318,O=CC#N))C#N
319,O=CC=O)C#C
320,O=CC=O)C#N
321,O=CC=O)C=O
322,CCC#C))C#C
323,CCC#C))C#N
324,CCC#N))C#N
325,NCC#C))C#N
326,NCC#N))C#N
327,OCC#C))C#C
328,OCC#C))C#N
329,OCC#N))C#N
330,CCC=O))C#C
331,CCC=O))C#N
332,OCC=O))C#C
333,OCC=O))C#N
334,CCC=O))C=O
335,CNC=N))C=O
336,CNC=O))C=O
337,OCC=O))C=O
338,CN=CN)C#N
339,CN=CN)C=O
340,CCC=O)C#C
341,CCC=O)C#N
342,CNC=N)C#N
343,CNC=O)C#C
344,COC=O)C#C
345,COC=O)C#N
346,OCC=O)C#C
347,OCC=O)C#N
348,CCC=O)C=O
349,CNC=N)C=O
350,CNC=O)C=O
351,COC=O)C=O
352,OCC=O)C=O
353,CCC=O)CC
354,CCC=O)CO
355,CCC=O)NC
356,CCC=O)OC
357,CNC=O)CO
358,CNC=O)NC
359,CNC=O)OC
360,COC=O)CN
361,COC=O)CO
362,OCC=O)CO
363,COCC)=NC
364,CCCO))C#C
365,CCCO))C#N
366,CCCC)C#C
367,CCCC)C#N
368,CCCN)C#N
369,CCCO)C#C
370,CCCO)C#N
371,CNCC)C#N
372,COCC)C#C
373,COCC)C#N
374,NCCO))C#N
375,NCCN)C#N
376,NCCO)C#N
377,OCCO)C#C
378,OCCO)C#N
379,CCCO))C=O
380,CCCC)C=O
381,CCCO)C=O
382,CCNC)C=O
383,COCC)C=O
384,OCCO)C=O
385,CCCO))CO
386,CCCC)CC
387,CCCC)CO
388,CCCC)OC
389,CCCO)CC
390,CCCO)CO
391,COCC)CO
392,OCCO)CO
393,CCCC3))C#C
394,CCCC3))C#N
395,CCCN3))C#C
396,CCCN3))C#N
397,CCCO3))C#C
398,CCCO3))C#N
399,NCCC3))C#N
400,OCCC3))C#C
401,OCCC3))C#N
402,CCCC3))C=O
403,CCCN3))C=O
404,CCCO3))C=O
405,OCCC3))C=O
406,CCCO))CC3
407,CCCO))CN3
408,CCCO))CO3
409,CCCC)CC3
410,CCCC)CO3
411,CCCO)CC3
412,COCC)CC3
413,OCCO)CC3
414,CCCCC4=O
415,CCCNC4=O
416,CCCOC4=N
417,CCCOC4=O
418,CCNCC4=O
419,CCOCC4=O
420,CNCCC4=O
421,NCCOC4=N
422,NCCOC4=O
423,OCCCC4=O
424,OCCNC4=O
